,ATTRIBUTES,VALUES
0,Unnamed: 0,0.12412164691294851
1,AssessmentID,0.12300848267707139
2,Case_ID,0.01074102038077252
3,Agency_Text,0.011581302376484866
4,Sex_Code_Text,0.20432817525278651
5,AGE,0.031237554167249482
6,Ethnic_Code_Text,0.002773362241506075
7,ScaleSet_ID,0.0018044207578034777
8,ScaleSet,0.0002591480315794075
9,Language,0.012832101626332651
10,LegalStatus,0.013199072610795889
11,CustodyStatus,0.018284638120277467
12,MaritalStatus,0.26054282020822866
13,RecSupervisionLevel,0.18528625463616305
14,RecSupervisionLevelText,0.0
15,Scale_ID,0.0
